Phase,Indicator,Group,State,Subgroup,Time Period,Time Period Label,Value,Low CI,High CI,Confidence Interval,Quartile range
1,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,33.7,28.2,39.6,28.2 - 39.6,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,California,California,1,Apr 23 - May 5,30.8,28.2,33.5,28.2 - 33.5,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,32.6,29.2,36.2,29.2 - 36.2,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,34.9,30.0,40.0,30.0 - 40.0,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,29.9,25.5,34.6,25.5 - 34.6,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,31.4,27.9,35.1,27.9 - 35.1,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Florida,Florida,1,Apr 23 - May 5,32.6,29.7,35.6,29.7 - 35.6,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,31.9,28.1,35.9,28.1 - 35.9,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,32.3,27.1,37.8,27.1 - 37.8,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,26.9,23.7,30.2,23.7 - 30.2,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,31.1,27.0,35.4,27.0 - 35.4,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,31.8,27.5,36.4,27.5 - 36.4,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,22.5,19.0,26.2,19.0 - 26.2,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,26.4,22.0,31.2,22.0 - 31.2,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,31.6,28.1,35.3,28.1 - 35.3,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,34.4,29.7,39.3,29.7 - 39.3,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Maine,Maine,1,Apr 23 - May 5,29.5,25.9,33.3,25.9 - 33.3,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,Apr 23 - May 5,27.7,24.6,31.1,24.6 - 31.1,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,Apr 23 - May 5,37.0,33.3,40.7,33.3 - 40.7,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,Apr 23 - May 5,32.5,28.6,36.7,28.6 - 36.7,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,Apr 23 - May 5,28.5,25.2,32.0,25.2 - 32.0,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,Apr 23 - May 5,30.3,24.7,36.3,24.7 - 36.3,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,Apr 23 - May 5,30.4,25.8,35.4,25.8 - 35.4,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Montana,Montana,1,Apr 23 - May 5,22.8,19.6,26.3,19.6 - 26.3,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,Apr 23 - May 5,24.2,20.6,28.0,20.6 - 28.0,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,Apr 23 - May 5,31.4,27.3,35.7,27.3 - 35.7,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,Apr 23 - May 5,31.3,27.1,35.7,27.1 - 35.7,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,Apr 23 - May 5,31.4,28.2,34.7,28.2 - 34.7,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,Apr 23 - May 5,27.9,23.9,32.2,23.9 - 32.2,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,New York,New York,1,Apr 23 - May 5,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0
1,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,Apr 23 - May 5,30.0,25.1,35.3,25.1 - 35.3,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,Apr 23 - May 5,21.7,18.3,25.5,18.3 - 25.5,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,Apr 23 - May 5,31.1,27.4,35.1,27.4 - 35.1,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,Apr 23 - May 5,28.6,24.9,32.4,24.9 - 32.4,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,Apr 23 - May 5,31.5,28.0,35.1,28.0 - 35.1,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,Apr 23 - May 5,31.0,27.5,34.7,27.5 - 34.7,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,Apr 23 - May 5,27.6,23.4,32.0,23.4 - 32.0,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,Apr 23 - May 5,27.8,24.0,31.7,24.0 - 31.7,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,Apr 23 - May 5,22.1,17.3,27.6,17.3 - 27.6,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,Apr 23 - May 5,28.2,22.8,34.0,22.8 - 34.0,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Texas,Texas,1,Apr 23 - May 5,29.7,25.9,33.7,25.9 - 33.7,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Utah,Utah,1,Apr 23 - May 5,28.9,24.9,33.1,24.9 - 33.1,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,Apr 23 - May 5,30.6,25.6,35.8,25.6 - 35.8,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,Apr 23 - May 5,28.5,25.4,31.8,25.4 - 31.8,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Washington,Washington,1,Apr 23 - May 5,30.6,27.7,33.7,27.7 - 33.7,30.4 - 31.6
1,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,Apr 23 - May 5,28.8,24.0,33.9,24.0 - 33.9,27.9 - 30.3
1,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,Apr 23 - May 5,27.1,24.1,30.2,24.1 - 30.2,21.7 - 27.8
1,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,Apr 23 - May 5,24.9,21.0,29.2,21.0 - 29.2,21.7 - 27.8
1,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,Apr 23 - May 5,35.9,35.0,36.8,35.0 - 36.8,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1,Apr 23 - May 5,46.8,44.3,49.3,44.3 - 49.3,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1,Apr 23 - May 5,39.6,37.7,41.5,37.7 - 41.5,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1,Apr 23 - May 5,38.9,37.2,40.7,37.2 - 40.7,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1,Apr 23 - May 5,35.8,34.0,37.7,34.0 - 37.7,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1,Apr 23 - May 5,28.9,27.6,30.3,27.6 - 30.3,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1,Apr 23 - May 5,21.5,19.3,23.7,19.3 - 23.7,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1,Apr 23 - May 5,21.1,15.6,27.5,15.6 - 27.5,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,1,Apr 23 - May 5,31.0,29.6,32.3,29.6 - 32.3,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,1,Apr 23 - May 5,40.7,39.7,41.6,39.7 - 41.6,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,Apr 23 - May 5,42.7,39.7,45.7,39.7 - 45.7,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,Apr 23 - May 5,33.6,32.7,34.4,32.7 - 34.4,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,Apr 23 - May 5,38.9,36.4,41.4,36.4 - 41.4,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,Apr 23 - May 5,31.9,28.5,35.4,28.5 - 35.4,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,Apr 23 - May 5,43.9,39.8,48.1,39.8 - 48.1,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,45.4,40.3,50.5,40.3 - 50.5,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,36.7,35.2,38.2,35.2 - 38.2,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,38.5,36.9,40.0,36.9 - 40.0,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,30.7,29.8,31.5,29.8 - 31.5,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,Apr 23 - May 5,30.3,24.8,36.2,24.8 - 36.2,25.6 - 33.3
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,Apr 23 - May 5,31.5,28.8,34.4,28.8 - 34.4,25.6 - 33.3
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1,Apr 23 - May 5,36.4,32.3,40.7,32.3 - 40.7,34.8 - 36.7
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,38.0,33.1,43.1,33.1 - 43.1,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1,Apr 23 - May 5,37.4,34.2,40.6,34.2 - 40.6,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,35.9,32.3,39.7,32.3 - 39.7,34.8 - 36.7
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,40.2,35.3,45.3,35.3 - 45.3,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,34.7,30.4,39.3,30.4 - 39.3,33.4 - 34.7
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,37.6,34.1,41.3,34.1 - 41.3,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1,Apr 23 - May 5,36.8,33.9,39.8,33.9 - 39.8,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,36.2,31.8,40.7,31.8 - 40.7,34.8 - 36.7
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,37.0,31.4,42.9,31.4 - 42.9,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,33.3,29.9,36.8,29.9 - 36.8,25.6 - 33.3
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,36.6,32.7,40.7,32.7 - 40.7,34.8 - 36.7
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,37.8,33.5,42.4,33.5 - 42.4,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,28.2,24.6,32.1,24.6 - 32.1,25.6 - 33.3
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,32.5,28.4,36.9,28.4 - 36.9,25.6 - 33.3
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,36.4,32.5,40.4,32.5 - 40.4,34.8 - 36.7
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,38.9,34.3,43.7,34.3 - 43.7,36.8 - 41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1,Apr 23 - May 5,34.3,30.6,38.1,30.6 - 38.1,33.4 - 34.7
